Università;Numero;P1;P2;P3A;P3B;P4A;P4B;D1;D2;D3;D4;D5;D6;University_Type
MARCHE (ANCONA);1;81.54;51.11;62.4;52.32;36.85;22.18;0.07;0.02;0.78;0.73;109.52;96.25;Public
BARI;2;69.21;35.63;46.49;62.97;16.1;53.11;0.07;0.02;0.37;0.37;125.47;69.55;Public
BERGAMO;3;90.3;57;59.27;69.51;39.79;38.98;0.09;0.02;0.61;0.71;158.97;78.49;Public
BOLOGNA1;4;86.72;55.89;50.05;61.88;29.35;36.57;0.07;0.02;0.57;0.53;47.32;82.21;Public
BOLOGNA2;5;79;57.16;62.22;67.76;38.1;26.28;0.08;0.02;0.43;0.42;177.78;99.32;Public
BOLOGNA3;6;78.23;50.76;45.59;65.61;12.41;26.37;0.07;0.02;0.97;0.98;236.36;71.62;Public
BRESCIA;7;88.33;52.97;59;53.59;21.85;20.34;0.07;0.02;0.64;0.66;116.98;100;Public
CAGLIARI;8;84.44;36.63;41.03;54.19;8.2;22.73;0.07;0.02;0.72;0.7;180.49;97.71;Public
CALABRIA - COSENZA (Rende);9;89.95;45.95;48.18;55.3;12.94;24.74;0.07;0.02;0.44;0.44;189.71;91.76;Public
CASSINO;10;79.29;33.86;40.07;60.51;7.03;33.09;0.09;0.03;0.78;0.58;169.44;95.86;Public
CATANIA;11;84.94;40.8;38.53;56.88;4.79;56.82;0.06;0.01;0.28;0.32;87.5;98.05;Public
CHIETI - PESCARA G. D’ANNUNZIO;12;88.89;35.48;50.14;54.28;8.4;36.44;0.11;0.03;0.4;0.41;172.58;60.36;Public
FERRARA;13;99.03;60.95;60.91;54.21;33.51;19.87;0.07;0.02;1;0.84;91.3;72.92;Public
FIRENZE;14;88.79;46.52;47.02;52.59;10.3;30.62;0.07;0.03;0.82;0.76;61.07;62.72;Public
FOGGIA;15;66.07;41.38;47.4;65.7;14.85;64;0.06;0.03;0.45;0.47;200;70.29;Public
GENOVA;16;87.95;57.12;59.47;62.37;18.42;53.55;0.06;0.02;0.82;0.85;87.14;100;Public
INSUBRIA;17;88.05;54.64;57.93;56.02;24.94;17.78;0.08;0.02;1;1;134.62;94.7;Public
SALENTO - LECCE;18;71.32;44.8;45.76;73.25;9.44;55.51;0.08;0.02;0.79;0.78;197.14;50.41;Public
MACERATA;19;83.12;49.67;41.87;46.48;14.65;23.33;0.07;0.03;0.52;0.61;120;90.91;Public
MESSINA;20;56.39;33.16;39.78;50.77;5.02;20;0.07;0.02;0.38;0.38;207.14;56.59;Public
MILANO - BICOCCA;21;79.54;49;55.32;66.9;24.42;40.96;0.07;0.02;0.8;0.84;171.67;94.84;Public
MODENA E REGGIO EMILIA;22;91.9;63.02;67.98;55.83;47.74;25.85;0.06;0.02;0.59;0.59;74.19;65.14;Public
MOLISE - CAMPOBASSO;23;85.89;45.82;39.41;60.64;10.07;25.99;0.05;0.02;0.63;0.59;150;91.88;Public
NAPOLI - PARTHENOPE ;24;60.5;47.15;42.12;66.99;3.5;47.09;0.08;0.02;0.26;0.25;150;21.93;Public
NAPOLI -FEDERICO II;25;79.92;42.05;48.77;55.21;5.99;32.26;0.07;0.02;0.42;0.41;86.61;96.47;Public
NAPOLI - II UNIVERSITA’ (caserta);26;84.12;46.72;46.17;59.95;6.32;4.57;0.07;0.02;0.35;0.39;126.32;55.84;Public
PADOVA;27;98.97;66.38;65.08;40.34;61.24;37.04;0.08;0.03;0.89;0.83;107.14;85.15;Public
PALERMO;28;59.14;30.64;37.13;55.29;1.68;13.04;0.08;0.02;0.5;0.39;160;50.39;Public
PARMA;29;97.34;60.46;59.47;72.23;43.24;62.35;0.1;0.02;0.65;0.69;70.13;95.91;Public
PAVIA;30;87.39;56.87;64.35;66.67;49.59;29.61;0.1;0.02;0.5;0.65;88.46;88.3;Public
PERUGIA;31;83.2;45.72;50.02;55.49;17.84;22.61;0.08;0.02;0.85;0.83;125;82.63;Public
PIEMONTE ORIENTALE - UNIV. AVOGADRO;32;82.76;54.52;58.06;75.28;31.51;50;0.08;0.03;0.91;0.92;237.04;64.25;Public
PISA;33;75.2;43.46;48.87;37.88;22.91;37.89;0.04;0.02;0.41;0.42;90;100;Public
ROMA - LA SAPIENZA;34;68.22;46.54;50.97;0;13.67;30.14;0.09;0.02;0.65;0.62;84.65;65.1;Public
ROMA - TOR VERGATA;35;73.55;47.39;50.77;52.26;7.19;24.66;0.11;0.03;1;1;95.9;76.21;Public
ROMA - TRE;36;71.66;51.07;53.11;55.16;19.94;23.91;0.14;0.02;0.77;0.76;75.71;82.63;Public
SALERNO (fisciano);37;76.53;38.42;43.31;49.33;4.18;4.74;0.07;0.02;0.42;0.24;146.67;94.62;Public
SANNIO - BENEVENTO;38;81.12;40.58;52.72;73.48;4.47;14.4;0.08;0.02;0.71;0.64;150;89.76;Public
SASSSARI;39;84.35;41.16;42.67;36.36;10.21;22.95;0.05;0.02;0.7;0.64;78.57;84.8;Public
SIENA;40;82.32;62.77;61.73;62.9;19.24;19.31;0.09;0.04;0.74;0.71;67.78;99.25;Public
TORINO;41;100;56.71;54.9;61.62;20.88;28.5;0.07;0.02;0.8;0.64;134.69;99.75;Public
TRENTO;42;82.14;51.96;54.48;48.56;21.3;20.6;0.08;0.03;0.55;0.55;52.33;87.24;Public
TRIESTE;43;80.49;46.41;50;49.11;24.16;17.39;0.06;0.04;0.83;0.79;51.61;86.51;Public
TUSCIA - VITERBO;44;78.93;74.73;48.24;63.33;45.81;42.27;0.08;0.01;0.42;0.39;45.83;42.27;Public
UDINE;45;85.44;55.66;58.71;55.7;28.91;21.54;0.09;0.03;0.78;0.72;122.73;98.75;Public
URBINO;46;100;45.29;47.76;69.23;10.86;20.22;0.07;0.03;1;0.98;64.52;85.83;Public
VENEZIA - CA’ FOSCARI;47;82.44;57.29;57.71;58.7;32.18;28.28;0.07;0.02;0.56;0.58;73.83;99.4;Public
VERONA;48;82.48;61.35;60.28;58.49;14.55;34.28;0.08;0.02;0.45;0.46;131.25;86.56;Public
BOLZANO;49;88.21;68.89;69.28;68.75;28.9;0;0.15;0.16;1;1;92.31;100;Private
CASAMASSIMA (BA) - L.U.M. Jean Monnet;50;86.24;62.52;54.55;96.15;45;60.44;0.1;0.1;1;1;200;42.98;Private
CASTELLANZA (VA) - L.I.U.C. CATTANEO;51;95.48;83.57;68.67;92.14;40.38;58.23;0.14;0.21;1;1;40;96.04;Private
MILANO - UNIVERSITA' BOCCON;52;97.9;80.82;82.83;88.95;77.12;49.08;0.45;0.11;0.77;0.81;42.78;99.57;Private
MILANO - UNIVERSITA' CATTOLICA;53;90.65;63.29;67.47;74.8;40.96;47.54;0.15;0.14;1;1;74.12;92.02;Private
ROMA - L.U.I.S.S.;54;94.3;84.41;84.75;82.16;55.01;25.28;0.32;0.16;1;1;0;64.32;Private
ROMA - LIBERA UNIV. SAN PIO V;55;100;72.34;32.52;86.49;43.65;96;0.16;0.17;0.18;0.23;180;24.39;Private